"GEO_ID","NAME","B19301_001E","B19301_001M",
"Geography","Geographic Area Name","Estimate!!Per capita income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Per capita income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1400000US37025040900","Census Tract 409; Cabarrus County; North Carolina","35462","4671",
"1400000US37025041001","Census Tract 410.01; Cabarrus County; North Carolina","36808","10115",
"1400000US37025041002","Census Tract 410.02; Cabarrus County; North Carolina","24951","8819",
"1400000US37025041100","Census Tract 411; Cabarrus County; North Carolina","35258","3142",
"1400000US37025041201","Census Tract 412.01; Cabarrus County; North Carolina","47595","12652",
"1400000US37025041202","Census Tract 412.02; Cabarrus County; North Carolina","44508","7729",
"1400000US37025041301","Census Tract 413.01; Cabarrus County; North Carolina","54275","8316",
"1400000US37025041304","Census Tract 413.04; Cabarrus County; North Carolina","39174","3608",
"1400000US37025041305","Census Tract 413.05; Cabarrus County; North Carolina","49739","10100",
"1400000US37025041306","Census Tract 413.06; Cabarrus County; North Carolina","54958","8521",
"1400000US37025041307","Census Tract 413.07; Cabarrus County; North Carolina","51490","5645",
"1400000US37025041503","Census Tract 415.03; Cabarrus County; North Carolina","37501","4742",
"1400000US37025041504","Census Tract 415.04; Cabarrus County; North Carolina","46616","4644",
"1400000US37025041505","Census Tract 415.05; Cabarrus County; North Carolina","48859","4283",
"1400000US37025041506","Census Tract 415.06; Cabarrus County; North Carolina","51243","6731",
"1400000US37025041507","Census Tract 415.07; Cabarrus County; North Carolina","48631","6580",
"1400000US37025041602","Census Tract 416.02; Cabarrus County; North Carolina","30853","5527",
"1400000US37025041603","Census Tract 416.03; Cabarrus County; North Carolina","37496","5202",
"1400000US37025041604","Census Tract 416.04; Cabarrus County; North Carolina","40553","3932",
"1400000US37025041701","Census Tract 417.01; Cabarrus County; North Carolina","34217","3516",
"1400000US37025041702","Census Tract 417.02; Cabarrus County; North Carolina","31313","5477",
"1400000US37025041901","Census Tract 419.01; Cabarrus County; North Carolina","18639","4198",
"1400000US37025041902","Census Tract 419.02; Cabarrus County; North Carolina","31967","8145",
"1400000US37025042000","Census Tract 420; Cabarrus County; North Carolina","27563","6685",
"1400000US37025042101","Census Tract 421.01; Cabarrus County; North Carolina","23827","4383",
"1400000US37025042102","Census Tract 421.02; Cabarrus County; North Carolina","28347","3868",
"1400000US37025042201","Census Tract 422.01; Cabarrus County; North Carolina","34716","11016",
"1400000US37025042202","Census Tract 422.02; Cabarrus County; North Carolina","44995","8220",
"1400000US37025042300","Census Tract 423; Cabarrus County; North Carolina","37135","9210",
"1400000US37025042401","Census Tract 424.01; Cabarrus County; North Carolina","52813","7788",
"1400000US37025042402","Census Tract 424.02; Cabarrus County; North Carolina","21713","3793",
"1400000US37025042501","Census Tract 425.01; Cabarrus County; North Carolina","44491","8087",
"1400000US37025042502","Census Tract 425.02; Cabarrus County; North Carolina","33136","5329",
"1400000US37025042503","Census Tract 425.03; Cabarrus County; North Carolina","49857","7114",
"1400000US37025042504","Census Tract 425.04; Cabarrus County; North Carolina","47471","6203",
"1400000US37025042601","Census Tract 426.01; Cabarrus County; North Carolina","57072","11426",
"1400000US37025042602","Census Tract 426.02; Cabarrus County; North Carolina","32866","5420",
"1400000US37025042603","Census Tract 426.03; Cabarrus County; North Carolina","38940","4249",
"1400000US37025042604","Census Tract 426.04; Cabarrus County; North Carolina","31984","3554",
"1400000US37027030100","Census Tract 301; Caldwell County; North Carolina","20768","3464",
"1400000US37027030200","Census Tract 302; Caldwell County; North Carolina","22853","2493",
"1400000US37027030300","Census Tract 303; Caldwell County; North Carolina","24177","4126",
"1400000US37027030400","Census Tract 304; Caldwell County; North Carolina","20775","2421",
"1400000US37027030500","Census Tract 305; Caldwell County; North Carolina","35025","3817",
"1400000US37027030600","Census Tract 306; Caldwell County; North Carolina","30601","3655",
"1400000US37027030700","Census Tract 307; Caldwell County; North Carolina","24237","2477",
"1400000US37027030801","Census Tract 308.01; Caldwell County; North Carolina","29080","4435",
"1400000US37027030802","Census Tract 308.02; Caldwell County; North Carolina","22832","3679",
"1400000US37027030900","Census Tract 309; Caldwell County; North Carolina","30562","8755",
"1400000US37027031000","Census Tract 310; Caldwell County; North Carolina","28637","5390",
"1400000US37027031100","Census Tract 311; Caldwell County; North Carolina","32515","6211",
"1400000US37027031201","Census Tract 312.01; Caldwell County; North Carolina","27437","2332",
"1400000US37027031202","Census Tract 312.02; Caldwell County; North Carolina","23600","2403",
"1400000US37027031301","Census Tract 313.01; Caldwell County; North Carolina","47866","9946",
"1400000US37027031302","Census Tract 313.02; Caldwell County; North Carolina","33872","5672",
"1400000US37027031401","Census Tract 314.01; Caldwell County; North Carolina","49129","12388",
